kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer1140	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24140	304.284727619696	NA	NA	24140	0.47401042522551	NA	NA
kmer1141	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25119	304.284727619696	NA	NA	25119	0.47401042522551
kmer1142	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22529	304.284727619696	NA	NA	22529	0.47401042522551	NA	NA
kmer1143	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22237	304.284727619696	NA	NA	22237	0.47401042522551	NA	NA
kmer1144	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25554	304.284727619696	NA	NA	25554	0.47401042522551
kmer1145	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	26411	304.285809291802	NA	NA	26411	0.47401042522551	NA	NA
kmer1146	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22526	304.284727619696	NA	NA	22526	0.47401042522551
kmer1147	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25257	304.284727619696	NA	NA	25257	0.47401042522551	NA	NA
kmer1148	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24155	304.284727619696	NA	NA	24155	0.47401042522551
kmer1149	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24276	304.284727619696	NA	NA	24276	0.47401042522551	NA	NA
kmer115	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22962	304.284727619696	NA	NA	22962	0.47401042522551
kmer1150	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21549	0.212755238195914	NA	NA	21549	0.47401042522551
kmer1151	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	25042	304.284727619696	NA	NA	25042	0.47401042522551	NA	NA
kmer1152	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22708	304.284727619696	NA	NA	22708	0.47401042522551	NA	NA
kmer1153	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23661	304.284727619696	NA	NA	23661	0.47401042522551
kmer1154	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26721	304.285809291802	NA	NA	26721	0.47401042522551
kmer1155	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25751	304.285809291802	NA	NA	25751	0.47401042522551
kmer1156	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25903	304.285809291802	NA	NA	25903	0.47401042522551
kmer1157	intactk_noN	NA	414	54	0.845	0.155	0.958	0.042	256	47	158	7	217929	446.2088530592	3858599	531875.512452113	217929	536.893182378814	3856909	39172.8695248322
kmer1158	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22485	304.284727619696	NA	NA	22485	0.47401042522551	NA	NA
kmer1159	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22904	304.284727619696	NA	NA	22904	0.47401042522551	NA	NA
