kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer3891	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083586	55332.5551871579	991888	22884.1710376128	3062619	9128.92215550601	991890.5	16857.4496380117
kmer4009	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083530	55332.5551871579	991944	22884.1710376128	3062563	9128.92215550601	991946.5	16857.4496380117
kmer4018	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083557	55332.5551871579	991917	22884.1710376128	3062590	9128.92215550601	991919.5	16857.4496380117
kmer4019	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083557	55332.5551871579	991917	22884.1710376128	3062590	9128.92215550601	991919.5	16857.4496380117
kmer4026	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083470	55332.5551871579	992004	22884.1710376128	3062503	9128.92215550601	992006.5	16857.4496380117
kmer4032	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083539	55332.5551871579	991935	22884.1710376128	3062572	9128.92215550601	991937.5	16857.4496380117
kmer4064	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083505	55332.5551871579	991969	22884.1710376128	3062538	9128.92215550601	991971.5	16857.4496380117
kmer4167	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083518	55332.5551871579	991956	22884.1710376128	3062551	9128.92215550601	991958.5	16857.4496380117
kmer4226	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083524	55332.5551871579	991950	22884.1710376128	3062557	9128.92215550601	991952.5	16857.4496380117
kmer4314	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083512	55332.5551871579	991962	22884.1710376128	3062545	9128.92215550601	991964.5	16857.4496380117
kmer4318	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083572	55332.5551871579	991902	22884.1710376128	3062605	9128.92215550601	991904.5	16857.4496380117
kmer450	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083574	55332.5551871579	991900	22884.1710376128	3062607	9128.92215550601	991902.5	16857.4496380117
kmer451	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083574	55332.5551871579	991900	22884.1710376128	3062607	9128.92215550601	991902.5	16857.4496380117
kmer4523	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083452	55332.5551871579	992022	22884.1710376128	3062485	9128.92215550601	992024.5	16857.4496380117
kmer4533	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083476	55332.5551871579	991998	22884.1710376128	3062509	9128.92215550601	992000.5	16857.4496380117
kmer4534	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083476	55332.5551871579	991998	22884.1710376128	3062509	9128.92215550601	992000.5	16857.4496380117
kmer4708	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083489	55332.5551871579	991985	22884.1710376128	3062522	9128.92215550601	991987.5	16857.4496380117
kmer4709	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083489	55332.5551871579	991985	22884.1710376128	3062522	9128.92215550601	991987.5	16857.4496380117
kmer4781	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083441	55332.5551871579	992033	22884.1710376128	3062474	9128.92215550601	992035.5	16857.4496380117
kmer4793	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083520	55332.5551871579	991954	22884.1710376128	3062553	9128.92215550601	991956.5	16857.4496380117
kmer4813	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083484	55332.5551871579	991990	22884.1710376128	3062517	9128.92215550601	991992.5	16857.4496380117
kmer4828	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083428	55332.5551871579	992046	22884.1710376128	3062461	9128.92215550601	992048.5	16857.4496380117
kmer4862	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083570	55332.5551871579	991904	22884.1710376128	3062603	9128.92215550601	991906.5	16857.4496380117
kmer4863	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083570	55332.5551871579	991904	22884.1710376128	3062603	9128.92215550601	991906.5	16857.4496380117
kmer4869	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083562	55332.5551871579	991912	22884.1710376128	3062595	9128.92215550601	991914.5	16857.4496380117
kmer4892	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083474	55332.5551871579	992000	22884.1710376128	3062507	9128.92215550601	992002.5	16857.4496380117
kmer4946	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083552	55332.5551871579	991922	22884.1710376128	3062585	9128.92215550601	991924.5	16857.4496380117
kmer4954	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083444	55332.5551871579	992030	22884.1710376128	3062477	9128.92215550601	992032.5	16857.4496380117
kmer4955	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083444	55332.5551871579	992030	22884.1710376128	3062477	9128.92215550601	992032.5	16857.4496380117
kmer4965	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083554	55332.5551871579	991920	22884.1710376128	3062587	9128.92215550601	991922.5	16857.4496380117
kmer5015	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083466	55332.5551871579	992008	22884.1710376128	3062499	9128.92215550601	992010.5	16857.4496380117
kmer502	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083579	55332.5551871579	991895	22884.1710376128	3062612	9128.92215550601	991897.5	16857.4496380117
kmer5028	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083591	55332.5551871579	991883	22884.1710376128	3062624	9128.92215550601	991885.5	16857.4496380117
kmer503	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083579	55332.5551871579	991895	22884.1710376128	3062612	9128.92215550601	991897.5	16857.4496380117
kmer5044	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083454	55332.5551871579	992020	22884.1710376128	3062487	9128.92215550601	992022.5	16857.4496380117
kmer5093	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083529	55332.5551871579	991945	22884.1710376128	3062562	9128.92215550601	991947.5	16857.4496380117
kmer5094	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083529	55332.5551871579	991945	22884.1710376128	3062562	9128.92215550601	991947.5	16857.4496380117
kmer5099	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083556	55332.5551871579	991918	22884.1710376128	3062589	9128.92215550601	991920.5	16857.4496380117
kmer5103	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083469	55332.5551871579	992005	22884.1710376128	3062502	9128.92215550601	992007.5	16857.4496380117
kmer5164	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083499	55332.5551871579	991975	22884.1710376128	3062532	9128.92215550601	991977.5	16857.4496380117
kmer5165	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083499	55332.5551871579	991975	22884.1710376128	3062532	9128.92215550601	991977.5	16857.4496380117
kmer5166	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083523	55332.5551871579	991951	22884.1710376128	3062556	9128.92215550601	991953.5	16857.4496380117
kmer5191	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083478	55332.5551871579	991996	22884.1710376128	3062511	9128.92215550601	991998.5	16857.4496380117
kmer5274	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083488	55332.5551871579	991986	22884.1710376128	3062521	9128.92215550601	991988.5	16857.4496380117
kmer5359	intactk_noN	NA	169	299	0.277	0.723	0.515	0.485	84	219	85	80	3083468	55332.5551871579	992006	22884.1710376128	3062501	9128.92215550601	992008.5	16857.4496380117
