kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer10173	intact_k	2063	29	18	0.931	0.069	0.111	0.889	27	2	2	16	496036	1121.57990037914	3556889	3700.99689273039	496035.5	0.707106781186548	3558469.5	2650.05968486246
kmer10175	intact_k	2063, 3112, 2062	29	18	0.931	0.069	0.111	0.889	27	2	2	16	3139033	1943.21855300153	914434	1483.51002692938	3139030.5	1461.58971671259	915481.5	1147.60511319588
kmer10176	intact_k	10334, 10335, 10336, 10333, 10319	29	18	0.931	0.069	0.111	0.889	27	2	2	16	922136	1406.61162042415	3130788	3700.99689273039	922673	724.077343935025	3131844	2265.17470904564
kmer10179	intact_k	2059, 2058, 2057	18	29	0.069	0.931	0.889	0.111	2	27	16	2	665664	1483.51002692938	3388774	2111.06256579362	666709	648.148590859637	3387800.5	1461.58971671259
kmer1018	intact_k	6484, 6483	29	18	0.931	0.069	0.111	0.889	27	2	2	16	735806	1141.62864744231	3317119.5	3700.2897859492	736342.5	724.784450716211	3318699.5	2382.43052014814
kmer10182	intact_k	10334, 10335, 10336, 10333, 10319	29	18	0.931	0.069	0.111	0.889	27	2	2	16	922136	1406.61162042415	3130788	3700.99689273039	922673	724.077343935025	3131844	2265.17470904564
kmer10183	intact_k	10339, 10340, 10341, 10338, 10324	29	18	0.931	0.069	0.111	0.889	27	2	2	16	922131	1406.61162042415	3130793	3700.99689273039	922668	724.077343935025	3131849	2265.17470904564
kmer10184	intact_k	2066	18	29	0.069	0.931	0.889	0.111	2	27	16	2	3554823	3700.99689273039	498102	1121.57990037914	3556403.5	2650.05968486246	498101.5	0.707106781186548
kmer10185	intact_k	2063	18	29	0.069	0.931	0.889	0.111	2	27	16	2	3554826	3700.99689273039	498099	1121.57990037914	3556406.5	2650.05968486246	498098.5	0.707106781186548
kmer10186	intact_k	2056, 3105	29	18	0.931	0.069	0.111	0.889	27	2	2	16	2836185	2006.03229388327	1218277.5	1477.1460658987	2835195	21.2132034355964	1219320	1296.88683006653
kmer1019	intact_k	6487, 6486	29	18	0.931	0.069	0.111	0.889	27	2	2	16	735803	1141.62864744231	3317122.5	3700.2897859492	736339.5	724.784450716211	3318702.5	2382.43052014814
kmer10192	intact_k	4711, 4710, 4712	18	29	0.069	0.931	0.889	0.111	2	27	16	2	3474431	3700.99689273039	578494	1201.99075729674	3476011.5	2650.05968486246	578506	16.9705627484771
kmer10193	intact_k	2060	0	47	0	1	0	1	0	29	0	18	NA	NA	2483794	13457.7282404605	NA	NA	2536636.5	17696.9029974912
kmer10194	intact_k	2062, 2061	29	18	0.931	0.069	0.111	0.889	27	2	2	16	3529600	2324.07798340212	524483	741.047906683502	3528981.5	2204.05183695847	525002.5	648.242740028764
kmer10195	intact_k	2065, 2064	29	18	0.931	0.069	0.111	0.889	27	2	2	16	3529600	2324.07798340212	524483	741.047906683502	3528981.5	2204.05183695847	525002.5	648.242740028764
kmer10196	intact_k	19079, 19078, 20128	18	29	0.069	0.931	0.889	0.111	2	27	16	2	3413678.5	3700.2897859492	639247	1138.85360712496	3415258.5	2382.538645192	639259	16.9705627484771
kmer10197	intact_k	14529, 14528, 15578	0	47	0	1	0	1	0	29	0	18	NA	NA	2483794	13457.7282404605	NA	NA	2536636.5	17696.9029974912
kmer102	intact_k	6487, 6486	29	18	0.931	0.069	0.111	0.889	27	2	2	16	735803	1141.62864744231	3317122.5	3700.2897859492	736339.5	724.784450716211	3318702.5	2382.43052014814
kmer1020	intact_k	2056	18	29	0.069	0.931	0.889	0.111	2	27	16	2	636288	1483.51002692938	3418150	2111.02718951505	637333	648.148590859637	3417176.5	1461.58971671259
kmer10200	intact_k	4387, 4375, 5436, 4388	29	18	0.931	0.069	0.111	0.889	27	2	2	16	1085692	1406.78890585653	2968281	3700.99689273039	1086228.5	724.784450716211	2969337	2311.83189898545
kmer10202	intact_k	8403, 9452, 10501	29	18	0.931	0.069	0.111	0.889	27	2	2	16	1447710	1441.42163719792	2606272.5	3710.18928088581	1447719.5	17.6776695296637	2606797.5	2324.106104147
kmer10203	intact_k	10339, 10340, 10341, 10338, 10324	18	29	0.069	0.931	0.889	0.111	2	27	16	2	3120453	3700.99689273039	932471	1406.7303060097	3121509	2264.57361696781	933007.5	724.784450716211
kmer10204	intact_k	14529, 14528, 15578	0	47	0	1	0	1	0	29	0	18	NA	NA	2483794	13457.7282404605	NA	NA	2536636.5	17696.9029974912
kmer10205	intact_k	2060	0	47	0	1	0	1	0	29	0	18	NA	NA	2483794	13457.7282404605	NA	NA	2536636.5	17696.9029974912
kmer10206	intact_k	2054	18	29	0.069	0.931	0.889	0.111	2	27	16	2	3046216	3700.99689273039	1006708	1406.7303060097	3047272	2264.57361696781	1007244.5	724.784450716211
